source,division,unit,department,job_title,job_grade,job_objective,responsibility_no,responsibility
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",1,"Plan, coordinate and manage the overall Banking operation activities in the branch"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",2,"Set annual operational plan and operational budget of the branch for retail, wholesale and IFB businesses; and digital banking channels"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",3,"Create awareness and clarity to staff of the branch about the Banks strategy, plans and corporate views"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",4,Ensure required resources are satisfied at the branch
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",5,Conduct daily sales and operational huddle and weekly meetings with staff of the Branch
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",6,"Establish and lead sales, service, and operation teams of the branch"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",7,Oversee lobby area is managed by staff of the Bank with good knowledge of products & services and having good communication skill
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",8,Oversee the branch maintains sufficient cash balance within the cash holding limits
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",9,Oversee security operations and personnels of the branch
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",10,"Make operational risk identification, assessment, measurement and put in place controlling and mitigation mechanisms, and report operational risks to district office regularly"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",11,"Ensure the branch appearance is suitable to provide sales, service and operational activities"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",12,Review and guide periodic sales target and strategy of the branch
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",13,"Create partnership with individuals, organizations and institutions for customer acquisition"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",14,"Ensure the Banks distribution channels (branch, digital, agents, merchants, etc.) perform as planned/designed and identify challenges, resolve any challenges or escalate to the District organ for support"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",15,Identify unmet needs of customer which are beyond the influence of the branch and escalate to the District and HO organs
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",16,Ensure in-branch transactions are minimized as much as possible
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",17,Ensure ATMs maintain the minimum acceptable uptime at all times and ATM reconciliation is performed latest by the next business day
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",18,Ensure clear separation of conventional and IFB operations at the branch
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",19,Have a coaching and feedback session with branch staff directly reporting to him/her
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",20,Identify and address major sales and operational challenges
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",21,Ensure customer and transactional records are kept up-to-date
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",22,Sign on loan and mortgage contracts with customers and staff of the Bank
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",23,"Keep safe custody of loan security items (e.g. LHC, vehicle certificate of ownership, etc.)"
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",24,Ensure suspense accounts of the branch are at acceptable level
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",25,Keep non-performing loans position of the branch is zero or within tolerable limit
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",26,Lead marketers and sales agent of the branch
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.",27,Ensure customer queries and complaints are properly handled in time
